Year,demand_twh
2000,4.51
2001,4.98
2002,5.37
2003,5.67
2004,6.32
2005,6.7
2006,7.47
2007,6.63
2008,6.13
2009,6.56
2010,7.16
2011,7.83
2012,8.18
2013,8.08
2014,9.33
2015,9.82
2016,9.73
2017,11.05
2018,11.39
2019,11.76
2020,11.8
2021,12.65
2022,13.26
2023,13.07
2024,13.73
